What organisation do you work for or are affiliated with?,"What country does the data you are providing relate to?
Please note that we are only collecting data from lower and middle income countries.",Please select the statement which most closely describes how clubfoot service delivery is coordinated in your country.,At what level is the Ministry of Health (MoH) or other government department involved with the provision of treatment in your country?  Please tick all that apply,Adequate numbers of trained clinic staff,Designated clinic space in government hospitals,Treatment materials (casting and tenotomy supplies) provided by government and readily available,FABs are available when and where needed,FABs are of high quality,"FABs are free, subsidized, or have low-fees",Ponseti Method is included in relevant pre-service curricula (at universities or educational insitutions),Training plan is in place to prepare new providers (to cover new clinics or staff turn-over),A local team of trainers is in place and available to train new providers,EDR systems for clubfoot are in place in primary care and maternity settings,Labor and delivery staff trained to identify and refer clubfoot at birth ,Relevant healthcare workers receive pre-service EDR training,What are the main referral sources are you receiving patients from (please select top 3 referral sources):,"Please provide any further information or explanation to extent to which coordination, treatment provision, FABs, workforce development or EDR are integrated within the health system.",Disability,Newborn health,Early childhood development,Rehabilitation,Birth defects,Primary care,Assistive Technology,Other,"Please provide additional information about policies or strategies that have included clubfoot service delivery, including any policies not listed above.","NGO/external support. Which aspects of clubfoot service delivery are supported with finance or resource by the NGOs, if any?
Please tick all that apply",To what extent is the aforementioned aspects of clubfoot delivery supported financially or otherwise by NGOs,Please provide any additional information you would like about NGO support of aspects of clubfoot service delivery,What are the biggest or most common challenges you are facing in providing a clubfoot programme in your country?,"Are you providing data on the whole country, or a different area?
(If you answered 'region' 'group or network of clinics' or 'single clinic', please state the name  in the 'Other'  field below.)",Please tell us how many active clinic(s) in 2023 you are providing data from:,"In 2023, how many new children with clubfoot started Ponseti treatment in the clinics that you are reporting on (please provide a total for all clinics)?",0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,Does your clubfoot programme support treatment of the following age groups:,"In 2023, what percentage of children who started Ponseti casting received less than 8 casts prior to starting Foot Abduction Bracing? (if known)","In 2023, what percentage of children who completed Ponseti casting also received an Achilles' tendon tenotomy? (if known)","In 2023, how many children started their first foot abduction brace in the clinics that you are providing data from?","In 2023, how many children completed 2 (two) years of foot abduction bracing in the clinics that you are providing data from?","In 2023, how many children completed 4 (four) years of foot abduction bracing in the clinics that you are providing data from? (if known - if not known, please enter 'not known' below)"
On His Path,El Salvador,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Established,In progress,Established,Established,Established,Insufficient,Insufficient,Emerging,In progress,In progress,Emerging,Maternity hospitals or units;,"Materials for casting, and FABs are provided by On His Path, the public hospitals provide the space to treat the children, also the orthopedic doctor and other trained health professional  and all the materials needed for the tenotomy. We had socialized the attention of clubfoot patients with the maternity units for early detection and referral in the four hospitals we work with.",Emerging,Emerging,In progress,In progress,Emerging,Emerging,Emerging,Don't know,I think they are all covered,Awareness raising;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;Parent advisors or support workers;,Fully,Close accompaniment by NGOs with parents is very important to remain attached to the treatment.,"There are few orthopedic professionals who are committed to treat clubfoot patients
unfavorable economic conditions of the family do not allow them to go to the clinic every week
lack of parental commitment to continuing treatment
In many cases they do not return the braces for recycling,
Much variation in parents' telephone numbers, due to the cheap availability of obtaining telephone chips.",Whole country,4,112,112,,,,,,,,Children presenting for treatment at any age,I am not able to provide this data,80-90%,99,,
Hope Walks,Ethiopia,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Established,Established,Not at all,Established,Established,Established,Insufficient,Insufficient,Insufficient,Emerging,Emerging,In progress,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,We conducted EDR with FMOH during the Measles SIA campaign ,Established,Established,Established,Established,Established,Established,Established,Established,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Clinician salaries;Parent advisors or support workers;Clinician Training;Foot Abduction Braces;Plaster of Paris and other materials;Programme management/coordination;Second staff assignment;,More than half but not fully,,,Whole country,59,2689,2516,256,120,52,45,67,8,2,Under 2 years of age only,90-100%,70-80%,1766,,
University hospital center mother child Jeanne Ebori Foundation,Gabon,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;,Not at all,Established,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Established,Not at all,Insufficients,Insufficients,Other patients (word of mouth);Maternity hospitals or units;,There is no program for the management of club foot,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,no more,nothing;,Not at all,,"Early Detection and Referral
Acquisition plaster of Paris  and Foot Abduction Brace
Clinician training",Single clinic ,0,10,5,5,0,0,0,0,0,0,Children presenting for treatment at any age,80-90%,70-80%,2,0,0
Hope Walks/ Christian Health Association of Ghana,Ghana,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is minimal support for clubfoot treatment provided within the national health system;,Insufficient,Insufficient,Not at all,Insufficient,Established,Established,Insufficient,Not at all,Established,Insufficients,Insufficients,Not at all,Radio and TV programmes;Community awareness programme;,"Clubfoot treatment provision, FABS, workforce development and EDR are currently being fully funded by an NGO called Hope Walks. Interactions are ongoing in order to integrate clubfoot into the national health system. The Christian Health Association of Ghana(  an agency of the MOH) has partnered with Hope Walks in providing free treatment for children (under 2years) with clubfoot in 6 clinics across the country. ",Emerging,Insufficient,Not at all,Emerging,Not at all,Insufficient,Insufficient,Not at all,,"Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;World clubfoot Celebration, Training of church leaders in disability inclusion;",Fully,,"Lack of awareness about clubfoot and treatment centers
Number of clinics inadequate for the whole country
Inadequate trained staff
Staff turn over
Long distance travels by patient families to access care with bad road networks
Financial challenges",Group or network of clinics ,6,294,232,36,14,5,3,4,0,0,Under 2 years of age only,90-100%,40-50%,207,,
Gambia Clubfoot Foundation ,"Gambia, The",There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Insufficient,Established,Established,Established,Established,Established,Established,Established,Insufficients,Not at all,Not at all,Community awareness programme;Maternity hospitals or units;Birth defects screening service;,"In the Gambia, clubfoot treatment program is Coordinated by a charitable foundation, that supports  the established clubfoot clinic in partnership with the Ministry of health.  The entire clubfoot treatment process are Coordinated at foundation level. Distribution of FAB are Coordinated by the the team of volunteers with treatment providers with government hospitals clubfoot treatment are conducted.  Clubfoot treatment integration strategies are in place, but taken slow to be fully implemented due to Ministry of Health low involvement. ",Insufficient,Not at all,Not at all,Insufficient,Insufficient,Emerging,Not at all,Not at all,"In the Gambia there are not serious policy  or strategies at national level to support  clubfoot services delivery.  Everything is done by  the independent charitable foundation,  with funding support from Miraclefeet.  Without Miraclefeet funding 113 new babies born with clubfoot annually would not have the chance to access treatment.  ",Awareness raising;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,We would love  to have all aspects of our activities be fully funded particularly EDR activities and clinicans monthly wages as an incentive to keep them active on the program ,"Lack of mobility,  we are not able to reach certain communities on the campaign, because we don't have a vehicle to coordinate well our community outreach events.  Funding received from Miraclefeet doesn't cover mobility issues only focus on treatment materials, basic coordination fee, some advocacy materials  and small office expenses ",Region,3,87,46,1,3,6,0,11,6,8,Children presenting for treatment at any age,0.95,1,45,9,
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,89,12,5,9,0,18,4,1,Children presenting for treatment at any age,0.6,0.93,113,69,
Réseau Confessionnel Sanitaire Chrétien de Guinée (RECOSAC-G),Guinea,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,In progress,Emerging,Not at all,Established,Established,In Progress,Insufficient,Established,Established,Emerging,Emerging,Emerging,Birth defects screening service;Community awareness programme;Maternity hospitals or units;,"For the opening of new clinics, we obtain authorizations from the Ministry of Health, on the basis of our memorandum of understanding. The public hospitals are therefore informed to receive the team of trainers and supervisors for the development of treatment for clubfoot children. The staff and infrastructure of these public health establishments are the contribution of the Ministry of Health. ",In progress,Insufficient,Emerging,In progress,Not at all,In progress,Don't know,Don't know,"The above-mentioned services are levers that include the clubfoot issue. The only handicap is that they do not have the financial resources to implement plans and policies in favor of the clubfoot program. When we meet the people in charge of these departments or bodies, they want us to support them financially to implement their work or activity plans.",Early Detection and Referral;Programme management/coordination;Clinician Training;Foot Abduction Braces;Plaster of Paris and other materials;Treatment fees;,More than half but not fully,"For awareness-raising, we take advantage of RECOSAC-Guinea's HIV and Vaccination awareness projects to also raise awareness of clubfoot, with a view to improving early detection and referral of child victims. Treatment is free of charge through the protocol that RECOSAC-Guinea has with health facilities. As part of the Miraclefeet grant, we purchase and make available plaster of Paris and other materials, and organize training and motivation for clinicians. Foot abduction splints are provided by Miraclefeet logistics. Some of the costs of coordinating the clubfoot program are covered by the grant received from Miraclefeet.","I have the impression that the region's supervisors are having difficulty validating activity readjustments. When it is necessary, based on program data and the local context, to review activities and prioritize some over others, it seems to me that what has been planned cannot be modified. Because, when we propose such an approach, to have validation from the region, we have to enter into endless exchanges of emails and questions and answers. This low flexibility in prioritizing already validated activities seems to me a weakness to be improved.",Whole country,6,89,82,5,1,0,0,1,0,0,Children presenting for treatment at any age,0.91,0.88,52,10,
Ministry of Public Health,Guinea-Bissau,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Established,Not at all,Established,Established,Established,Not at all,Established,Established,Insufficients,Insufficients,Insufficients,Community awareness programme;Other patients (word of mouth);Maternity hospitals or units;,"They are not integrated into the health system, because there is a national health development plan in which rehabilitation is not even integrated",Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,In this particular there is an MOU  between MoH and Miraclefeet they are actively involved in the strategic leadership of the clubfoot programme.,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,Fully,"Improve access to free quality treatment campaign funded by Miraclefeet at national level, increase support for transport for parents.","Lack of a policy and strategy to be integrated into the national health system, and into its national health development plan.
There is a lack of capacity to publicize the existence of free treatment for all children born with clubfoot in the country.
Transport for parents",Clinic of National Rehabilitation Center,1,77,46,6,4,4,0,9,5,2,Children presenting for treatment at any age,0.75,0.78,79,,
,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,12,4,4,1,0,2,0,0,Children presenting for treatment at any age,0.3,0,14,0,
Hope Walks,Haiti,There is no central coordination of clinics providing Ponseti treatment,Any aspects of clubfoot treatment are not provided as part of routine care within the national health system.;,Not at all,Not at all,Not at all,In Progress,Established,Not at all,Not at all,Emerging,Not at all,Not at all,Insufficients,Insufficients,Other patients (word of mouth);Community awareness programme;Maternity hospitals or units;,We are working like an organization to provide clubfoot care independent of the health system.,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Clinician salaries;Clinic space;Programme management/coordination;,Fully,,"The biggest challenge we are facing in providing a clubfoot program in my country is due by the instability, insecurity and Political crisis.",Region,5,90,62,10,7,1,2,0,13,0,Under 2 years of age only,70-80%,I am not able to provide this data,55,,
Hope Walks,Honduras,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Not at all,Insufficient,Insufficient,Insufficient,Established,Established,Insufficient,Emerging,Insufficient,In progress,In progress,In progress,Maternity hospitals or units;Other patients (word of mouth);social media;,"MOH just changed staff, every time they do that we need to explain everything to the new staff, they are not involved, the communication is directly with the directors and staff of the hospitals where clinics are located. MOH doesn't get involved in trainings. The Medical Director is in charge of trainings, but he has 2 jobs. Tenotomy materials are covered by hospitals, POP is covered by Hope Walks, not by the hospital. Just 2 places do FAB’s at a very high price, the ones Hope Walks gets are low cost and high quality.

EDR’s are performed by Hope Walks staff to all health centers during monthly visits.",Not at all,Established,Established,Insufficient,Emerging,Established,Not at all,Don't know,"No specific policies or strategies that include clubfoot, it is on the MOU with the MOH, but it´s just in paper ",Awareness raising;Early Detection and Referral;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,n/a,"Trained professionals
Limited timing given by the volunteers to attend clubfoot, they limit number of patients",Whole country,3,94,73,7,4,4,0,3,2,1,below 5,80-90%,20-30%,61,,
CURE INTERNATIONAL INDIA,India,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Established,Established,In progress,Established,Established,Established,Established,Emerging,Emerging,Established,Established,Established,Birth defects screening service;Community awareness programme;Maternity hospitals or units;,"Coordination: CURE Intranational India have signed the MoU with 29 states and union territories to implement the clubfoot management program in public hospitals. 398 clubfoot clinics are functioning in India where clubfoot treatment is made available in public hospitals.

Treatment provision: As per the MoU all the partner hospitals are providing treatment material free of cost (Partially or fully) to the children born with clubfoot.

FABs: As per the MoU CURE International India provides free FABs to all the children enrolled in the program till the completion of the treatment.

Workforce Development: As per the MoU CURE International India provides clubfoot management training to the doctors and counselling staff from the clubfoot clinics regularly.

EDR: CURE International India closely work with the screening team from Ministry of Health in all the states of India. Organization conducts training for Medical officers, ASHAs, Preschool teachers and other staff from the EDR team. Organization also conduct community awareness campaigns with private and government maternity centers, nursing homes, schools and pre-schools to identify the children born with clubfoot.   

     

 ",Emerging,Established,Established,In progress,Established,Established,In progress,Don't know,,Awareness raising;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,About half,"Government supplies Doctors, treatment material, clinic space and EDR team. CURE International India provides trainings for doctors and EDR team, counselors for parent education, FABs, IEC materials, and manpower to manage the program.  ","1. Limited access of clinics: Compare to the population the availability of clubfoot clinics are limited. Especially in rural areas, people have limited access to the clubfoot treatment facilities due to geographical barriers.
2. Poverty: Many people have to spend money for repeated visits to complete the treatment and they have to sacrifice a daily wage for that day. This also impacts their decision to continue the treatment after few days.
3. Unavailability of trained doctors: Many hospitals do not have trained doctors to treat clubfoot effectively. Due to this families have to go to the higher center where trained doctors are available and this can attract more expenditure. ",Whole country,408,12761,8115,2457,916,638,378,188,63,0,Children presenting for treatment at any age,70-80%,50-60%,9041,2842,3980
Pusat Rehabilitasi YAKKUM,Indonesia,There is no central coordination of clinics providing Ponseti treatment,There is minimal support for clubfoot treatment provided within the national health system;Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Insufficient,Emerging,In progress,Insufficient,Insufficient,Insufficient,Emerging,Not at all,Not at all,Insufficients,Insufficients,Insufficients,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,"- Indonesia has a National Health Insurance scheme as part of its efforts to achieve Universal Health Coverage. Currently, 90.3% of the population is covered by insurance, meaning they can access health services for free, including treatment for clubfoot. However, this insurance only covers casting, tenotomy/surgery, and brace follow-up, excluding assistive technologies/FABs. The national health insurance covers only 7 types of ATs, excluding FABs.
- Locally made FABs lack standardization, resulting in varying quality. Many are of low quality and incorrect models but are sold at high prices.
- There are still no official guidelines from the Ministry of Health or orthopedic/pediatric orthopedic associations clearly stating that the Ponseti method is the preferred treatment for clubfoot, leading to variations in treatment approaches among doctors.
- Due to the absence of official guidelines on the Ponseti method, there is no centralized mechanism for standardized treatment, monitoring, and evaluation of quality.
- For context, clubfoot management in Indonesia falls solely under the management and scope of orthopedic units, meaning other professions (e.g., medical rehabilitation practitioners) do not have the authority to treat clubfoot. Meanwhile, the current number of orthopedic doctors in Indonesia is around 1500, with a prevalence of orthopedic doctors of 1:180,000.",Not at all,Insufficient,Not at all,Insufficient,Insufficient,Not at all,Not at all,Not at all,There are still no laws or regulations specifically coordinating or integrating clubfoot screening. Only Ministry of Health Regulation No. 53 of 2014 outlines essential neonatal care but lacks specific guidance on clubfoot detection and referral. This gap in screening guidelines and training curriculum for midwives leads to potential delays in diagnosing and intervening in cases of clubfoot in Indonesia.,Awareness raising;Early Detection and Referral;Patient transport and access;Foot Abduction Braces;Clinician Training;Programme management/coordination;,More than half but not fully,"While casting and tenotomy are already covered by the Indonesian National Health Insurance, NGO support aims to complete the treatment, such as providing braces, managing clubfoot treatment, educating parents, training primary health workers in EDR, and building capacity on the Ponseti method for orthopedic doctors and other clinical teams.  As of March 14, 2023, citing a press release from the Ministry of State Secretariat of the Republic of Indonesia, Universal Health Coverage in Indonesia has reached 90.3%, meaning individuals can access health treatment, including treatment for clubfoot, for free. However, 9.7% of the population still does not have access to insurance. The NGO program also supports treatment from casting to bracing, including tenotomy, for these individuals.   It is important to note that treatment covered by the national health insurance cannot be combined with NGO program support, as this would be considered a ""charity"" program, potentially leading to fraud (double financing).","- Due to the lack of human resources in the health sector, there is still no dedicated clubfoot clinic with specifically trained health workers. Clubfoot children attend the same clinic as other general patients with orthopedic problems, which may affect effective and efficient service delivery.
- To be fully covered by the National Health Insurance, children with clubfoot are referred based on the system from level 1 primary health care to the closest hospital or treatment provider. However, these facilities may not always have the skills and understanding of the Ponseti method.",Group or network of clinics ,6,239,142,48,19,11,0,17,1,1,"primarily for children below 2 years old, but maximum 5 years old",0.69,0.84,177,23,
ICRC,Iraq,There is no central coordination of clinics providing Ponseti treatment,All aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,In progress,In progress,Insufficient,Insufficient,Insufficient,In progress,In progress,In progress,In progress,In progress,In progress,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,"The Clubfoot clinic in Nasiriya Teaching Hospital was established in 2020 therefore it is in progress of coordination, treatment provision, FABs, and workforce development.",In progress,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,,Clinician Training;Foot Abduction Braces;,About half,the clinic is supporting by ICRC through train the staff and providing the FABs.,"- FABs
- Family education and compliance.",Single clinic ,1,70,52,16,1,1,0,0,0,0,Under 2 years of age only,80-90%,80-90%,,,
Clubfoot Care for Kenya which is a Program of Hope Walks,Kenya,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Emerging,Emerging,Insufficient,In Progress,In Progress,Established,Insufficient,In progress,Established,Insufficients,Insufficients,Insufficients,New born screening service;Maternity hospitals or units;Community awareness programme;,"* Clubfoot expressly highlighted as one of the birth deformities to check during newborn assessment and it is included in the mother and child health booklet issued by the MOH. Unfortunately most birth attendants and nurses do not do the newborn assessment as required.
* The MOH leads the National Technical and Steering Committee on clubfoot hence gives strategic inputs for the sustainability of clubfoot management in the Country
* All the medical staffs engaged in the clubfoot clinics are Government employees",Insufficient,Insufficient,Insufficient,Emerging,Insufficient,Insufficient,Emerging,Don't know,"Universal Health Coverage, under which we have Primary health care - Insufficient
National Health Insurance Scheme to cover clubfoot - Insufficient ",Early Detection and Referral;Awareness raising;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,Fully,Community inclusion including faith leaders ,"Lack of adequate finances
Lack of Government prioritization considering other challenges the country if facing
Poverty",Group or network of clinics ,28,1494,1322,87,35,24,11,14,1,0,Under 2 years of age only,90-100%,40-50%,844,,
"Center of Medical Rehabilitation, Ministry of Health, Laos ",Lao PDR,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;There is minimal support for clubfoot treatment provided within the national health system;,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Not at all,Emerging,Emerging,Insufficients,Insufficients,Emerging,Maternity hospitals or units;,Skills and knowledge of treatment providers are insufficient due to lack of proper training curriculum and retirement of existing staff ,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,Emerging,There are no specific policies and strategies on clubfoot service delivery . The policies are merged with other services delivery ,Awareness raising;Early Detection and Referral;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;,"Some support is provided, but less than half",Data management systems . Awareness raising campaign and case follow up ,"Clinicians knowledge and skills, treatment facilities are the biggest challenge ",Whole country,5,129,122,7,0,0,0,0,0,0,Children presenting for treatment at any age,60-70%,60-70%,129,,
,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,348,37,16,10,0,8,1,0,Children presenting for treatment at any age,1,0.93,385,89,
Australian Doctors For Africa,Madagascar,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,Insufficient,Insufficient,Insufficient,Insufficient,Don't know,Don't know,Don't know,Emerging,Emerging,Don't know,Don't know,Don't know,Other patients (word of mouth);,NTR,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,Awareness raising;Early Detection and Referral;Plaster of Paris and other materials;,"Some support is provided, but less than half",,,Single clinic ,18,613,450,63,33,18,0,37,12,0,Children presenting for treatment at any age,0.74,0.92,550,191,
Hope Walks and Malawi Against Physical Disabilities,Malawi,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,Some aspects of clubfoot treatment are provided as part of routine care within the national health system;,In progress,Established,Insufficient,Emerging,Established,Established,In progress,Don't know,In progress,Emerging,Emerging,Insufficients,Maternity hospitals or units;Other patients (word of mouth);Birth defects screening service;,"Clubfoot care is done in almost all District Hospitals in Malawi as a routine care under the Physiotherapy department. FABs are expensive and for most Hospitals, they rely on support from the Malawi Clubfoot Program which is being implemented by Malawi Against Physical Disabilities with support from Hope Walks.
EDR is the area where there is a huge gap because most Midwifery colleges do not teach about Clubfoot. The Malawi Clubfoot Program is the one supporting EDR sessions for Midwives",In progress,Emerging,In progress,Established,Established,In progress,Insufficient,Not at all,,Awareness raising;Early Detection and Referral;Patient transport and access;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;Programme management/coordination;,More than half but not fully,"In Malawi, the Malawi Clubfoot Program with support from Hope Walks provide support for the treatment of Clubfoot using the Ponseti method. The support includes provision of casting supplies, FABs, tenotomy kits, Parent Advisors Training for Clinicians etc. There is also Feet First which supports treatment of complicated cases and there is Hope and Healing providing transport assistance to vulnerable families","Inadequate resources to reach more areas. Malawi has 28 District hospitals where clubfoot services are provided. However, the Malawi Clubfoot Program is currently supporting only 10 of them with plans to expand to two more in 2025.",Group or network of clinics ,10,511,455,36,7,5,3,1,0,0,Children presenting for treatment at any age,80-90%,50-60%,331,,
ASEMP-MALI ,Mali,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;There is minimal support for clubfoot treatment provided within the national health system;,In progress,Insufficient,Not at all,Established,Established,Established,Not at all,Insufficient,In progress,Emerging,Emerging,Emerging,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,"L'extension des cliniques continue avec des accords dans structures publiques.
Les attelles d'adduction pédieux sont fournis intégralement par Miraclefeet en quantité suffisante
EDR dans tous les centres de santé de référence de Bamako et Centre de santé communautaires de base dans les zones d'implantation de nos cliniques pied bot ",Insufficient,Insufficient,Insufficient,Insufficient,Emerging,Emerging,Insufficient,Not at all,Relais communautaires ,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Programme management/coordination;,Fully,Fabrication des affiches publicitaires et les médias ,Absence de motivation ou autres avantages pour les prestataires de traitement de pied bot étant donné que d'autres sont des bénévoles  ,Group or network of clinics ,7,231,187,23,3,4,0,11,3,0,Children presenting for treatment at any age,0.93,0.92,205,80,
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,2,1,0,0,1,0,0,Children presenting for treatment at any age,1,0.75,4,0,
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,13,9,3,1,0,13,1,5,Children presenting for treatment at any age,0.33,1,12,0,
Miraclefeet,Morocco,There is a centrally coordinated network of clinics providing Ponseti treatment across part of the country,There is an MOU or other type of agreement with the MoH and they are actively involved in the strategic leadership of the clubfoot programme;,Insufficient,In progress,Established,Insufficient,In Progress,Insufficient,Insufficient,In progress,Established,In progress,Insufficients,Insufficients,New born screening service;Maternity hospitals or units;Community awareness programme;,meternities ,Emerging,In progress,Insufficient,In progress,In progress,Insufficient,Don't know,Not at all, ,Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Programme management/coordination;Clinician Training;,Fully, ,choose Ponseti Method as first treatment for Older clubfoot chil ( Walking age ),Region,7,420,0,0,0,0,0,0,0,0,Children presenting for treatment at any age, , , , ,
Hope Walks ,Mozambique,There is a centrally coordinated network of clinics providing Ponseti treatment across the entire country,There is an MOU or other type of agreement with the MoH but they are not actively involved in the strategic leadership of the clubfoot programme;,Insufficient,Insufficient,Not at all,Established,In Progress,Established,Not at all,Established,Established,Emerging,Emerging,Emerging,Community awareness programme;Maternity hospitals or units;Other patients (word of mouth);,"The program works in partnership with the Ministry of Health, the employees who work in                                  the hospitals are from the Ministry of Health, they are the ones who evaluate and treat. We do not have any support from the ministry for acquisition, for EDR activities we have received support to carry out EDRs in Central, District, Rural and Health Center Hospitals.",Not at all,In progress,Insufficient,In progress,Not at all,Emerging,Emerging,In progress,,Awareness raising;Early Detection and Referral;Patient transport and access;Treatment fees;Plaster of Paris and other materials;Foot Abduction Braces;Clinician Training;Parent advisors or support workers;,Fully,Advertising spot on TV or Radio. Transport for staff to travel to some remote areas (difficult to access places) to carry out awareness-raising activities.  Projection Material (Datashow),"Some families have a lack of interest in treatment (they give more priority to the farm than taking the child to the hospital)
Compromised treatment due to divorce, death of one of the parents.
Lack of Information
Financial constraints
Distance.",Whole country,10,374,374,9,4,0,0,0,0,,Under 2 years of age only,90-100%,60-70%,345,,
ICRC,Myanmar,There is no central coordination of clinics providing Ponseti treatment,Don't know;,Insufficient,Emerging,Emerging,Insufficient,Insufficient,Insufficient,Emerging,Insufficient,Not at all,Insufficients,Not at all,Not at all,Other patients (word of mouth);Community awareness programme;Maternity hospitals or units;,NA,Insufficient,Don't know,Insufficient,Insufficient,Not at all,Not at all,Insufficient,Don't know,Clubfoot is included in one of the national rehabilitation strategic plan and FAB is in the draft prioritized assistive product lists for Myanmar. ,Awareness raising;Early Detection and Referral;Patient transport and access;Foot Abduction Braces;Clinician Training;Plaster of Paris and other materials;,Fully,,"Political instabilities, Travel restriction due to security concerns, Limited HR with trained professionals, Parents participation, Community awareness","Mandalay, Shan",2,55,,,,,,,,,Children presenting for treatment at any age,60-70%,50-60%,6,2,
