YEAR_RECORDED,Country Name,Income Group,Region,Total new children treated,0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,number children started 1yr FAB,number of children completed 2 years FAB,NUMBER_OF_CHILDREN_COMPLETED_4_YEARS_FAB,Expected number of clubfoot cases
2019,Nigeria,Lower middle income,Sub-Saharan Africa,260,90,66,52,27,15,10,0,0,198,0,0,9206.543704
2019,Pakistan,Lower middle income,South Asia,875,0,0,0,0,0,0,0,0,1979,0,0,7433.892501
2019,Papua New Guinea,Lower middle income,East Asia & Pacific,47,26,9,4,4,2,2,0,0,47,0,0,288.9185034
2019,Paraguay,Upper middle income,Latin America & Caribbean,200,139,23,14,7,12,9,4,1,157,57,0,177.4357373
2019,Russian Federation,Upper middle income,Europe & Central Asia,150,60,20,20,15,15,10,10,0,60,60,0,2060.256993
2019,Rwanda,Low income,Sub-Saharan Africa,425,377,48,0,0,0,0,0,0,314,0,0,483.5036006
2019,Senegal,Lower middle income,Sub-Saharan Africa,48,29,4,2,4,1,2,0,0,28,0,0,678.7016871
2019,Sierra Leone,Low income,Sub-Saharan Africa,154,118,36,0,0,0,0,0,0,60,209,0,316.8956952
2019,Solomon Islands,Lower middle income,East Asia & Pacific,24,24,0,0,0,0,0,0,0,20,10,0,26.26079522
2019,Somalia,Low income,Sub-Saharan Africa,93,72,11,9,5,1,2,0,1,93,0,0,777.0279629
2019,South Africa,Upper middle income,Sub-Saharan Africa,700,0,0,0,0,0,0,0,0,0,0,0,1469.474459
2019,South Sudan,Low income,Sub-Saharan Africa,29,11,8,4,0,1,3,1,0,25,10,0,476.4910294
2019,Sri Lanka,Upper middle income,South Asia,395,303,35,17,9,6,12,2,0,238,189,0,425.3916348
2019,Syrian Arab Republic,Low income,Middle East & North Africa,0,0,0,0,0,0,0,0,0,0,0,0,496.5273879
2019,Tanzania,Low income,Sub-Saharan Africa,1562,1079,85,44,31,13,37,16,7,166,166,0,2562.935381
2019,Togo,Low income,Sub-Saharan Africa,66,53,13,0,0,0,0,0,0,58,0,0,323.9271463
2019,Uganda,Low income,Sub-Saharan Africa,642,593,48,23,9,7,4,0,0,493,34,0,2020.266163
2019,Zambia,Lower middle income,Sub-Saharan Africa,257,241,16,0,0,0,0,0,0,209,0,0,778.7164559
2019,Philippines,Lower middle income,East Asia & Pacific,762,478,104,29,29,15,46,12,7,489,45,0,2717.175283
2019,Zimbabwe,Lower middle income,Sub-Saharan Africa,327,294,33,0,0,0,0,0,0,178,0,0,549.234832
2019,Eritrea,Low income,Sub-Saharan Africa,79,71,2,2,0,1,0,0,0,66,69,0,0.0
