YEAR_RECORDED,Country Name,Income Group,Region,Total new children treated,0-1 years,1-2 years,2-3 years,3-4 years,4-5 years,5-10 years,10-15 years,15+ years,number children started 1yr FAB,number of children completed 2 years FAB,NUMBER_OF_CHILDREN_COMPLETED_4_YEARS_FAB,NUMBER_OF_CHILDREN_COMPLETED_4_YEARS_FAB,Expected number of clubfoot cases
2023,Papua New Guinea,Lower middle income,Western Pacific,56,40,11,3,2,0,0,0,0,45.0,12.0,0,0,320.8856886
2023,Paraguay,Upper middle income,Americas,175,134,7,0,2,0,26,5,1,171.0,138.0,0,0,173.434344
2023,Peru,Upper middle income,Americas,59,34,11,7,4,0,3,0,0,44.0,0.0,0,0,744.0270813
2023,Philippines,Lower middle income,Western Pacific,690,551,53,23,26,0,50,4,4,580.0,277.0,0,0,3125.653943
2023,Russian Federation,Upper middle income,Europe,82,0,0,15,21,18,17,12,11,0.99,0.9,0,0,1716.99645
2023,Rwanda,Low income,Africa,493,444,49,0,0,0,0,0,0,438.0,226.0,109,0,512.0831711
2023,Senegal,Lower middle income,Africa,120,96,9,2,3,0,7,1,2,99.0,23.0,0,0,699.4203797
2023,Sierra Leone,Low income,Africa,256,197,14,7,4,0,21,9,4,214.0,19.0,0,0,334.6453924
2023,Somalia,Low income,Eastern Mediterranean,258,160,48,15,7,0,25,3,0,230.0,70.0,3,0,950.5408191
2023,South Africa,Upper middle income,Africa,1162,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1472.074301
2023,South Sudan,Low income,Africa,58,45,6,5,2,0,0,0,0,41.0,25.0,0,0,393.885336
2023,Sri Lanka,Lower middle income,South-East Asia,414,333,17,17,18,0,22,7,0,364.0,123.0,0,0,385.5847444
2023,Sudan,Low income,Eastern Mediterranean,214,173,15,10,4,7,5,0,0,97.0,0.0,0,0,1952.734339
2023,Syrian Arab Republic,Low income,Eastern Mediterranean,12,12,0,0,0,0,0,0,0,0.0,0.0,0,0,551.7514945
2023,Tanzania,Lower middle income,Africa,1847,1577,138,41,24,16,31,15,5,1112.0,664.0,300,0,2940.875084
2023,Thailand,Upper middle income,South-East Asia,10,3,0,0,3,3,1,0,0,0.0,0.0,0,0,800.0499505
2023,Vietnam,Lower middle income,Western Pacific,25,25,0,0,0,0,0,0,0,25.0,15.0,10,0,1827.249535
2023,Togo,Low income,Africa,235,141,33,8,1,0,0,0,0,154.0,0.0,0,0,349.5363526
2023,Uganda,Low income,Africa,1083,917,58,28,26,0,49,5,0,924.0,457.0,0,0,2155.800115
2023,"Yemen, Rep.",Low income,Eastern Mediterranean,142,79,11,22,16,11,6,6,1,111.0,0.0,0,0,1276.244429
2023,Zambia,Low income,Africa,471,378,45,27,10,4,8,0,0,209.0,0.0,0,0,856.6291776
2023,Zimbabwe,Lower middle income,Africa,380,0,0,0,0,0,0,0,0,0.0,0.0, ,0,617.9914956
