2021 Country Name,2021 Expected births,2021 Income Group,2021 WHO region,2021 - regional incidence ,2021 Expected number of clubfoot cases - regional ,2021 Expected number of clubfoot cases - 1.24
Bangladesh,3022450.428,Lower middle income,South-East Asia,1.8,5440.410771,3747.838531
Benin,469236.867,Lower middle income,Africa,1.31,614.7002958,581.8537151
Bhutan,9772.2009,Lower middle income,South-East Asia,1.8,17.58996162,12.11752912
Bolivia,263263.9891,Lower middle income,South-East Asia,1.8,473.8751803,326.4473464
Cabo Verde,9996.93712,Lower middle income,Africa,1.31,13.09598763,12.39620203
Cambodia,325461.2741,Lower middle income,Western Pacific,0.86,279.8966958,403.5719799
Cameroon,940619.0261,Lower middle income,Africa,1.31,1232.210924,1166.367592
Comoros,24101.13874,Lower middle income,Africa,1.31,31.57249174,29.88541203
"Congo, Rep.",177651.231,Lower middle income,Africa,1.31,232.7231126,220.2875264
Cote d'Ivoire,916882.7826,Lower middle income,Africa,1.31,1201.116445,1136.93465
Djibouti,24503.43641,Lower middle income,Eastern Mediterranean,1.18,28.91405497,30.38426115
"Egypt, Arab Rep.",2477178.804,Lower middle income,Eastern Mediterranean,1.18,2923.070989,3071.701717
El Salvador,101866.7294,Lower middle income,Americas,1.14,116.1280715,126.3147445
Eswatini,29061.82283,Lower middle income,Africa,1.31,38.0709879,36.0366603
Ghana,902274.0832,Lower middle income,Africa,1.31,1181.979049,1118.819863
Haiti,270639.5887,Lower middle income,Americas,1.14,308.5291312,335.59309
Honduras,216130.0053,Lower middle income,Americas,1.14,246.3882061,268.0012066
India,23140927.47,Lower middle income,South-East Asia,1.8,41653.66944,28694.75006
Indonesia,4526163.343,Lower middle income,South-East Asia,1.8,8147.094017,5612.442545
"Iran, Islamic Rep.",1242226.737,Lower middle income,Eastern Mediterranean,1.18,1465.827549,1540.361153
Kenya,1455497.868,Lower middle income,Africa,1.31,1906.702208,1804.817357
Kiribati,3496.069635,Lower middle income,Western Pacific,0.86,3.006619886,4.335126347
Kyrgyz Republic,157917.6,Lower middle income,Eastern Mediterranean,1.18,186.342768,195.817824
Lao PDR,164313.1882,Lower middle income,Europe,1.11,182.3876388,203.7483533
Lebanon,86823.93544,Lower middle income,Eastern Mediterranean,1.18,102.4522438,107.6616799
Lesotho,59458.6498,Lower middle income,Africa,1.31,77.89083124,73.72872575
Mauritania,150374.8359,Lower middle income,Africa,1.31,196.991035,186.4647965
"Micronesia, Fed. Sts.",2335.952722,Lower middle income,Western Pacific,0.86,2.008919341,2.896581375
Mongolia,73809.57568,Lower middle income,Western Pacific,0.86,63.47623508,91.52387384
Morocco,656325.4423,Lower middle income,Eastern Mediterranean,1.18,774.4640219,813.8435485
Myanmar,927586.9869,Lower middle income,South-East Asia,1.8,1669.656576,1150.207864
Nepal,605755.6613,Lower middle income,South-East Asia,1.8,1090.36019,751.13702
Nicaragua,141218.4732,Lower middle income,Americas,1.14,160.9890594,175.1109067
Nigeria,7805402.883,Lower middle income,Africa,1.31,10225.07778,9678.699575
Pakistan,6354011.256,Lower middle income,Eastern Mediterranean,1.18,7497.733282,7878.973957
Papua New Guinea,253451.6414,Lower middle income,Western Pacific,0.86,217.9684116,314.2800354
Philippines,2472576.942,Lower middle income,Western Pacific,0.86,2126.41617,3065.995408
Samoa,5936.768838,Lower middle income,Western Pacific,0.86,5.105621201,7.361593359
Sao Tome and Principe,6217.056835,Lower middle income,Africa,1.31,8.144344454,7.709150475
Senegal,542950.7881,Lower middle income,Africa,1.31,711.2655324,673.2589772
Solomon Islands,20889.86559,Lower middle income,Western Pacific,0.86,17.96528441,25.90343334
Sri Lanka,312016.965,Lower middle income,South-East Asia,1.8,561.630537,386.9010366
Tajikistan,262724.4887,Lower middle income,Europe,1.11,291.6241825,325.778366
Tanzania,2261532.289,Lower middle income,Europe,1.11,2510.300841,2804.300039
Timor-Leste,32835.27371,Lower middle income,South-East Asia,1.8,59.10349268,40.7157394
Tunisia,202225.13,Lower middle income,Eastern Mediterranean,1.18,238.6256535,250.7591613
Ukraine,344229.9822,Lower middle income,Europe,1.11,382.0952802,426.8451779
Uzbekistan,842108.43,Lower middle income,Europe,1.11,934.7403573,1044.214453
Vanuatu,9331.537215,Lower middle income,Western Pacific,0.86,8.025122005,11.57110615
Vietnam,1488389.749,Lower middle income,Western Pacific,0.86,1280.015184,1845.603289
West Bank and Gaza,138334.1472,Lower middle income,Eastern Mediterranean,1.18,163.2342937,171.5343425
Zimbabwe,485900.673,Lower middle income,Africa,1.31,636.5298816,602.5168345
"Venezuela, RB",461915.7145,Upper middle income,Americas,1.14,526.5839145,572.775486
Albania,29187.27697,Upper middle income,Europe,1.11,32.39787743,36.19222344
Argentina,640946.7774,Upper middle income,Americas,1.14,730.6793262,794.7740039
Armenia,34943.84764,Upper middle income,Europe,1.11,38.78767088,43.33037107
Azerbaijan,126164.0125,Upper middle income,Europe,1.11,140.0420539,156.4433755
Belarus,87233.5536,Upper middle income,Europe,1.11,96.8292445,108.1696065
Belize,7061.582401,Upper middle income,Americas,1.14,8.050203937,8.756362177
Bosnia and Herzegovina,28574.80268,Upper middle income,Europe,1.11,31.71803097,35.43275532
Botswana,61610.19639,Upper middle income,Africa,1.31,80.70935727,76.39664352
Brazil,2788181.264,Upper middle income,Americas,1.14,3178.526641,3457.344767
Bulgaria,58939.1275,Upper middle income,Europe,1.11,65.42243153,73.0845181
China,12022572,Upper middle income,Western Pacific,0.86,10339.41192,14907.98928
Colombia,735184.106,Upper middle income,Americas,1.14,838.1098808,911.6282914
Costa Rica,62255.97196,Upper middle income,Americas,1.14,70.97180803,77.19740523
Cuba,105593.7221,Upper middle income,Americas,1.14,120.3768432,130.9362154
Dominican Republic,206573.6899,Upper middle income,Americas,1.14,235.4940065,256.1513755
Ecuador,299656.893,Upper middle income,Americas,1.14,341.608858,371.5745473
Equatorial Guinea,49755.23153,Upper middle income,Africa,1.31,65.1793533,61.69648709
Fiji,18066.04302,Upper middle income,Western Pacific,0.86,15.53679699,22.40189334
Gabon,63492.80924,Upper middle income,Africa,1.31,83.1755801,78.73108345
Georgia,48268.73566,Upper middle income,Europe,1.11,53.57829658,59.85323221
Grenada,2014.222944,Upper middle income,Americas,1.14,2.296214156,2.497636451
Guatemala,367781.3927,Upper middle income,Americas,1.14,419.2707877,456.048927
Guyana,16321.11655,Upper middle income,Americas,1.14,18.60607286,20.23818452
Iraq,1180190.28,Upper middle income,Eastern Mediterranean,1.18,1392.624531,1463.435948
Jamaica,33317.81047,Upper middle income,Americas,1.14,37.98230393,41.31408498
Jordan,243327.9731,Upper middle income,Eastern Mediterranean,1.18,287.1270082,301.7266866
Kazakhstan,426878.9582,Upper middle income,Europe,1.11,473.8356436,529.3299081
Kosovo,20015.47707,Upper middle income,Western Pacific,0.86,17.21331028,24.81919157
Libya,121780.4465,Upper middle income,Eastern Mediterranean,1.18,143.7009269,151.0077536
Malaysia,511844.2921,Upper middle income,Western Pacific,0.86,440.1860912,634.6869222
Maldives,7498.448288,Upper middle income,South-East Asia,1.8,13.49720692,9.298075877
Mauritius,13416.844,Upper middle income,Africa,1.31,17.57606564,16.63688656
Mexico,1961163.571,Upper middle income,Americas,1.14,2235.726471,2431.842828
Moldova,32889.05753,Upper middle income,Western Pacific,0.86,28.28458948,40.78243134
Montenegro,7082.8884,Upper middle income,Europe,1.11,7.862006124,8.782781616
Namibia,69386.09585,Upper middle income,Africa,1.31,90.89578556,86.03875885
North Macedonia,19067.2852,Upper middle income,Europe,1.11,21.16468657,23.64343365
Palau,197.692,Upper middle income,Western Pacific,0.86,0.17001512,0.24513808
Paraguay,138635.1855,Upper middle income,Americas,1.14,158.0441114,171.90763
Peru,593923.7137,Upper middle income,Americas,1.14,677.0730337,736.465405
Russian Federation,1411916.762,Upper middle income,Europe,1.11,1567.227606,1750.776785
Serbia,61402.2214,Upper middle income,Europe,1.11,68.15646575,76.13875454
South Africa,1195207.968,Upper middle income,Africa,1.31,1565.722438,1482.057881
St. Lucia,2091.158079,Upper middle income,South-East Asia,1.8,3.764084542,2.593036018
St. Vincent and the Grenadines,1367.644872,Upper middle income,South-East Asia,1.8,2.46176077,1.695879641
Suriname,11096.54114,Upper middle income,Americas,1.14,12.65005689,13.75971101
Thailand,656289.5468,Upper middle income,South-East Asia,1.8,1181.321184,813.7990381
Tonga,2435.472306,Upper middle income,Western Pacific,0.86,2.094506183,3.019985659
Turkiye,1264807.889,Upper middle income,Europe,1.11,1403.936757,1568.361783
Turkmenistan,139347.2648,Upper middle income,Europe,1.11,154.6754639,172.7906083
Andorra,559.44,High income,Europe,1.11,0.6209784,0.6937056
Antigua and Barbuda,1126.79424,High income,Americas,1.14,1.284545434,1.397224858
Aruba,863.55167,High income,Americas,1.14,0.984448904,1.070804071
Australia,295035.8235,High income,Western Pacific,0.86,253.7308082,365.8444211
Austria,83818.5216,High income,Europe,1.11,93.03855898,103.9349668
"Bahamas, The",4670.35179,High income,Americas,1.14,5.324201041,5.79123622
Bahrain,18647.13625,High income,Eastern Mediterranean,1.18,22.00362077,23.12244895
Barbados,3048.045287,High income,Americas,1.14,3.474771627,3.779576156
Belgium,114232.1796,High income,Europe,1.11,126.7977194,141.6479027
Bermuda,536.7012,High income,Americas,1.14,0.611839368,0.665509488
Brunei Darussalam,6257.034625,High income,Western Pacific,0.86,5.381049778,7.758722935
Canada,357549.7176,High income,Americas,1.14,407.6066781,443.3616498
Cayman Islands,848.1186,High income,Americas,1.14,0.966855204,1.051667064
Channel Islands,1713,High income,Europe,1.11,1.90143,2.12412
Chile,228399.9277,High income,Americas,1.14,260.3759176,283.2159104
Croatia,36024.352,High income,Europe,1.11,39.98703072,44.67019648
Curacao,1564.9647,High income,Americas,1.14,1.784059758,1.940556228
Cyprus,13096.85407,High income,Europe,1.11,14.53750802,16.24009905
Czechia,110187.9374,High income,Europe,1.11,122.3086105,136.6330424
Denmark,60646.6016,High income,Europe,1.11,67.31772778,75.20178598
Estonia,13162.2678,High income,Europe,1.11,14.61011726,16.32121207
Faroe Islands,676.1535,High income,Europe,1.11,0.750530385,0.83843034
Finland,46448.1612,High income,Europe,1.11,51.55745893,57.59571989
France,736525.0663,High income,Europe,1.11,817.5428236,913.2910822
French Polynesia,3902.01408,High income,Western Pacific,0.86,3.355732109,4.838497459
Germany,773396.1003,High income,Europe,1.11,858.4696713,959.0111644
Greece,84518.9321,High income,Europe,1.11,93.81601463,104.8034758
Greenland,834.2316,High income,Americas,1.14,0.951024024,1.034447184
Guam,2769.126853,High income,Western Pacific,0.86,2.381449094,3.433717298
"Hong Kong SAR, China",43389.8,High income,Americas,1.14,49.464372,53.803352
Hungary,93601.4304,High income,Europe,1.11,103.8975877,116.0657737
Iceland,4507.4949,High income,Europe,1.11,5.003319339,5.589293676
Ireland,55836.2784,High income,Europe,1.11,61.97826902,69.23698522
Israel,176929.92,High income,Europe,1.11,196.3922112,219.3931008
Italy,404184.1868,High income,Europe,1.11,448.6444473,501.1883916
Japan,858574.8,High income,Western Pacific,0.86,738.374328,1064.632752
"Korea, Rep.",274732.0667,High income,Western Pacific,0.86,236.2695774,340.6677627
Kuwait,51440.15787,High income,Eastern Mediterranean,1.18,60.69938628,63.78579576
Latvia,17484.1308,High income,Europe,1.11,19.40738519,21.68032219
Liechtenstein,352.6796,High income,Europe,1.11,0.391474356,0.437322704
Lithuania,25153.965,High income,Europe,1.11,27.92090115,31.1909166
Luxembourg,6430.2738,High income,Europe,1.11,7.137603918,7.973539512
"Macao SAR, China",6849.394224,High income,Europe,1.11,7.602827589,8.493248838
Malta,4431.8552,High income,Europe,1.11,4.919359272,5.495500448
Monaco,217.8398,High income,Europe,1.11,0.241802178,0.270121352
Netherlands,169182.55,High income,South-East Asia,1.8,304.52859,209.786362
New Caledonia,3961.48043,High income,Western Pacific,0.86,3.40687317,4.912235733
New Zealand,57621.064,High income,Western Pacific,0.86,49.55411504,71.45011936
Norway,52718.855,High income,Europe,1.11,58.51792905,65.3713802
Oman,85375.01061,High income,Eastern Mediterranean,1.18,100.7425125,105.8650132
Panama,76951.28192,High income,Americas,1.14,87.72446139,95.41958959
Poland,356251.258,High income,Europe,1.11,395.4388964,441.7515599
Portugal,84436.0642,High income,Europe,1.11,93.72403126,104.7007196
Puerto Rico,18376.6128,High income,Americas,1.14,20.94933859,22.78699987
Qatar,30074.39458,High income,Eastern Mediterranean,1.18,35.4877856,37.29224927
Romania,177240.3,High income,Europe,1.11,196.736733,219.777972
San Marino,217.6448,High income,Europe,1.11,0.241585728,0.269879552
Saudi Arabia,656515.2375,High income,Eastern Mediterranean,1.18,774.6879802,814.0788945
Seychelles,1555.6996,High income,Africa,1.31,2.037966476,1.929067504
Singapore,48329.3595,High income,Western Pacific,0.86,41.56324917,59.92840578
Slovak Republic,56771.8008,High income,Americas,1.14,64.71985291,70.39703299
Slovenia,18711.5291,High income,Europe,1.11,20.7697973,23.20229608
Spain,336296.1505,High income,Europe,1.11,373.2887271,417.0072266
St. Martin (French part),513.295704,High income,South-East Asia,1.8,0.923932267,0.636486673
Sweden,112852.5178,High income,Europe,1.11,125.2662948,139.9371221
Switzerland,85517.8533,High income,Europe,1.11,94.92481716,106.0421381
Trinidad and Tobago,18135.78406,High income,Americas,1.14,20.67479383,22.48837224
United Arab Emirates,98631.00918,High income,Eastern Mediterranean,1.18,116.3845908,122.3024514
United Kingdom,684226.2,High income,Eastern Mediterranean,1.18,807.386916,848.440488
United States,3613361.772,High income,Africa,1.31,4733.503921,4480.568597
Uruguay,35453.32015,High income,Americas,1.14,40.41678498,43.96211699
Virgin Islands (U.S.),1286.109,High income,Western Pacific,0.86,1.10605374,1.59477516
